Project Name,False Positives
0x8a0cac13c7da965a312f08ea4229c37869e85cb9_avax,3
0x46d0ce7de6247b0a95f67b43b589b4041bae7fbe_arbi,0
0xabc9547b534519ff73921b1fba6e672b5f58d083_avax,0
0x1bfd67037b42cf73acf2047067bd4f2c47d9bfd6_poly,0
0x53e0bca35ec356bd5dddfebbd1fc0fd03fabad39_poly,0
0x6626c47c00f1d87902fc13eecfac3ed06d5e8d8a_fantom,0
0xae7ab96520de3a18e5e111b5eaab095312d7fe84_eth,0
0x23d29d30e35c5e8d321e1dc9a8a61bfd846d4c5c_poly,0
0x46e7628e8b4350b2716ab470ee0ba1fa9e76c6c5_fantom,2
0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5_eth,0
0x88128fd4b259552a9a1d457f435a6527aab72d42_avax,0
0x52ce071bd9b1c4b00a0b92d298c512478cad67e8_bsc,0
0x4184aa04215e5d716dd4c213fed519acadc68f92_eth,0
0x50327c6c5a14dcade707abad2e27eb517df87ab5_eth,2
0x4fabb145d64652a948d72533023f6e7a623c7c53_eth,0
0xcc42724c6683b7e57334c4e856f4c9965ed682bd_bsc,0
0xfcf8eda095e37a41e002e266daad7efc1579bc0a_eth,0
0x5f0da599bb2cccfcf6fdfd7d81743b6020864350_bsc,0
0x14016e85a25aeb13065688cafb43044c2ef86784_bsc,0
0x50b7545627a5162f82a992c33b87adc75187b218_avax,0
0x5283d291dbcf85356a21ba090e6db59121208b44_eth,1
0xb0c7a3ba49c7a6eaba6cd4a96c55a1391070ac9a_eth,0
0x6f259637dcd74c767781e37bc6133cd6a68aa161_eth,2
0x2b591e99afe9f32eaa6214f7b7629768c40eeb39_eth,0
0x1fa4a73a3f0133f0025378af00236f3abdee5d63_bsc,0
0x8ebaf22b6f053dffeaf46f4dd9efa95d89ba8580_avax,3
0xdab529f40e671a1d4bf91361c21bf9f0c9712ab7_poly,0
0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e_eth,2
0xc2132d05d31c914a87c6611c10748aeb04b58e8f_poly,0
0x2ed9a5c8c13b93955103b9a7c167b67ef4d568a3_bsc,0
0xbec243c995409e6520d7c41e404da5deba4b209b_avax,3
0xc3c7d422809852031b44ab29eec9f1eff2a58756_poly,0
0x2e1ad108ff1d8c782fcbbb89aad783ac49586756_poly,0
0x0d8775f648430679a709e98d2b0cb6250d2887ef_eth,3
0x19de6b897ed14a376dda0fe53a5420d2ac828a28_eth,2
0x6f7c932e7684666c9fd1d44527765433e01ff61d_poly,0
0xe3c408bd53c31c085a1746af401a4042954ff740_eth,0
0x3ee2200efb3400fabb9aacf31297cbdd1d435d47_bsc,0
0x2e9a6df78e42a30712c10a9dc4b1c8656f8f2879_arbi,0
0xdac17f958d2ee523a2206206994597c13d831ec7_eth,4
0x9678e42cebeb63f23197d726b29b1cb20d0064e5_bsc,0
0xd533a949740bb3306d119cc777fa900ba034cd52_eth,0
0xbbbbca6a901c926f240b89eacb641d8aec7aeafd_eth,3
0xd586e7f844cea2f87f50152665bcbc2c279d8d70_avax,0
0xb50721bcf8d664c30412cfbc6cf7a15145234ad1_eth,0
0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7_avax,0
0x514910771af9ca656af840dff83e8264ecf986ca_eth,0
0x0eb3a705fc54725037cc9e008bdede697f62f335_bsc,0
0xe83ce6bfb580583bd6a62b4be7b34fc25f02910d_eth,2
0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9_arbi,0
0x68749665ff8d2d112fa859aa293f07a622782f38_eth,0
0xc18360217d8f7ab5e7c516566761ea12ce7f9d72_eth,0
0xc0a1adce1c62daedf1b5f07b31266090bc5cc6d2_poly,2
0x986854779804799c1d68867f5e03e601e781e41b_bsc,0
0x418d75f65a02b3d53b2418fb8e1fe493759c7605_eth,0
0xbd31ea8212119f94a611fa969881cba3ea06fa3d_eth,0
0x90bbddbf3223363898065b9c736e2b86c655762b_bsc,2
0xad6caeb32cd2c308980a548bd0bc5aa4306c6c18_bsc,0
